val/loss,epoch,step,train/loss,grad_norm.net.W.weight,grad_norm.net.P.weight,grad_norm.net.g.linear1.weight,grad_norm.net.g.linear1.bias,grad_norm.net.g.linear2.weight,grad_norm.net.g.linear2.bias,grad_norm.net.f.linear1.weight,grad_norm.net.f.linear1.bias,grad_norm.net.f.linear2.weight,grad_norm.net.f.linear2.bias,grad_norm.encoder.U.weight,grad_norm.encoder.U.bias,grad_norm.decoder.U.weight,grad_norm.decoder.U.bias,test/loss
,9,2349,16.06031608581543,2.60196205563225e-17,1.727546310206688e-17,6.609438156350528e-17,4.521676881621306e-17,2.5004137716059548e-17,2.407186363189758e-17,2.3498501303988195e-21,5.469815963601629e-25,1.8356985855645174e-10,1.568441126318363e-08,7.318772140759379e-16,1.7764303428799802e-16,2.762392724889208e-06,0.19039666865462798,
,9,2399,14.951750755310059,2.5334572334641396e-23,6.784585054133922e-23,4.979663101644479e-24,4.1404132883561094e-24,2.354177941527345e-24,2.6228132868533374e-24,7.618728396143185e-22,1.6963505912519645e-25,2.4691764535828078e-12,2.530641499676687e-10,5.027016090794548e-23,1.656621825555624e-23,5.54074479497179e-08,0.006984176732477688,
,9,2449,14.621018409729004,3.1210028060433458e-21,3.584659771147588e-21,3.117341105425041e-21,2.1383597098881212e-21,1.0548176954261564e-21,1.1519113638527794e-21,1.5760711544679336e-20,7.616179649813433e-25,4.2533502762820306e-13,4.7747251351602246e-08,3.366010091284806e-20,8.338663060487387e-21,6.87357343006576e-07,0.18541861376663052,
,9,2499,14.037956237792969,3.712840350172698e-18,3.1314696595472276e-18,1.0048798423469371e-17,6.7431506232634314e-18,3.477317635523763e-18,3.597489401439535e-18,3.856743352621412e-18,3.541588587023584e-22,1.6841137367857288e-09,5.899565531620563e-07,1.093143523312642e-16,2.6744712564734647e-17,2.877716338002425e-07,0.020806997082063884,
14.935469627380371,9,2499,,,,,,,,,,,,,,,,
,10,2549,15.779519081115723,2.9188739233475055e-19,7.658774184331499e-19,1.7273366964775282e-20,1.347571379104609e-20,7.060837899867675e-21,7.245263401351087e-21,7.419637094535301e-18,3.507546184627016e-22,8.362729068622289e-08,2.127388045216152e-05,1.7762962743989336e-19,5.143236728472033e-20,0.0009003002125351156,0.6950645323838182,
,10,2599,14.581127166748047,3.9558247170511997e-19,1.3956548295754923e-18,8.251285979208741e-21,4.671651415082442e-21,3.3696456966264088e-21,3.821807936084017e-21,1.4358393359112642e-17,2.767926088524998e-22,2.5711075074392675e-08,1.6082346635694793e-06,9.110400771410799e-20,1.6960244915382922e-20,2.137868724593356e-06,0.09013252865078875,
,10,2649,13.991655349731445,3.4903750390184487e-19,4.090705329947419e-19,2.1247466282780654e-18,5.0707061293338244e-18,6.955397373141949e-19,8.456918711509896e-19,8.216858013835305e-19,1.6785542927493144e-22,9.385438069879508e-08,4.5679763103327833e-07,5.917806478030677e-18,1.1966209795395797e-17,0.00043207810594121556,0.01473128127252844,
,10,2699,16.025949478149414,2.934642935515332e-18,4.1351218253514284e-18,1.670603213139732e-17,3.66640747525124e-17,5.173043279801965e-18,6.668798595404545e-18,2.1630923607708484e-19,2.6802654621181383e-22,5.77846471686315e-08,1.7975137455906277e-06,4.668772344450885e-17,8.477253716711389e-17,3.441466928702874e-05,0.03076545941072487,
,10,2749,15.406316757202148,8.787635992129964e-20,7.715707324837233e-20,1.270545939918278e-19,3.176735960333367e-19,3.987623604371509e-20,5.3924156362693274e-20,1.1539288636200752e-18,3.730733093970725e-22,4.438571565784979e-07,2.6686770458716555e-05,3.239011428839321e-19,8.976286638100928e-19,0.0004912697845162911,0.18275528386668605,
14.973389625549316,10,2749,,,,,,,,,,,,,,,,
,11,2799,15.137351036071777,4.317809485292659e-18,5.693449355737517e-18,2.4023737542565873e-17,5.604006611412885e-17,7.776357086602653e-18,9.501704811241919e-18,1.8500429791974222e-19,7.873961895690893e-23,3.1549974798549393e-09,1.809157605132463e-05,6.879499575031747e-17,1.3739709229993635e-16,0.00020102358541758771,0.45802969359239076,
,11,2849,15.467707633972168,9.100341915115272e-20,3.3200833248263956e-20,1.1242822966998313e-19,3.3215399594092813e-19,3.565683935087356e-20,3.688062417450033e-20,9.961105739279578e-20,4.920968219686388e-23,2.571261952203283e-07,5.102413038999253e-06,3.4923139252817137e-19,9.610965307819862e-19,0.0004974209176807618,0.14586430953442228,
,11,2899,14.102972030639648,4.277107048201919e-18,4.199179667372723e-18,1.562224833602377e-17,4.0304873385589576e-17,5.3802254351975664e-18,5.520157217471325e-18,2.2177023691341497e-19,8.505314113600014e-23,2.7590154660384567e-10,2.4898264608224878e-06,4.506646532347894e-17,9.917765540052849e-17,0.00010167482224176178,0.08559302667554204,
,11,2949,14.673552513122559,2.2437238156963858e-20,2.7454863867477785e-20,5.819595843086286e-20,1.3288541419243329e-19,1.8694274738811482e-20,2.297312350209148e-20,6.921395921838746e-20,3.1972083690744005e-23,6.384229225585009e-09,8.101414742190001e-08,1.627567964895309e-19,3.155336143877298e-19,4.741376021699733e-07,0.002122973433070098,
,11,2999,14.629531860351562,1.1282085784918037e-20,3.5948063646716597e-20,1.1955313258931e-20,2.1482097802123772e-20,5.050436356359391e-21,7.428146343527142e-21,4.2513143361709573e-19,2.962914594089899e-22,7.789580130194859e-07,9.680081399914907e-06,3.136628406219364e-20,2.6202025167922154e-20,5.6375828743649804e-05,0.04716643716374494,
14.940291404724121,11,2999,,,,,,,,,,,,,,,,
,12,3049,15.70358657836914,1.8377475217174325e-16,2.587617203117198e-16,1.1591977408367089e-15,2.3744147337862474e-15,3.5501482905644894e-16,4.533331235937841e-16,2.5591722826810457e-19,3.8478037784015697e-22,1.79746620531616e-08,2.0905767602619122e-05,3.391370424172368e-15,5.564386977010698e-15,7.470761600897411e-05,0.11508872509901209,
,12,3099,14.56200122833252,1.8529767279445254e-20,4.107195249521413e-20,1.1999900554457031e-20,3.419932810238778e-20,4.830602131998334e-21,3.831258242361488e-21,7.151891049106055e-19,5.180580657143683e-22,1.0840942739933473e-07,3.1974897069081496e-05,4.1018289408762906e-20,7.822446595378246e-20,2.8866253818253485e-05,0.22806326362689205,
,12,3149,14.607382774353027,2.1897909236260504e-18,2.6492090089370337e-18,1.2422382337241447e-17,2.5284704287900683e-17,3.7523068779151114e-18,4.8482390883819385e-18,3.0940227672527205e-19,2.7301741545540734e-22,2.0536582906576113e-07,3.6496598372172363e-06,3.3770568104104924e-17,5.625598999121984e-17,0.00011699256212996891,0.03942641049367347,
,12,3199,14.762947082519531,1.3651885391564527e-20,2.873650504829192e-20,3.1618977144975586e-20,8.511296583146738e-20,1.1375225003955626e-20,1.1636197861045302e-20,1.8146609435458778e-19,7.132207850634003e-23,1.5091949290519583e-08,8.657210330815158e-10,7.897628202266448e-20,2.49185245102733e-19,4.347381811680225e-06,1.0393873639682008e-05,
,12,3249,14.259723663330078,5.706254876476302e-20,4.213154409310859e-20,1.5785196511080001e-19,4.578311659447539e-19,5.54608749742655e-20,5.915072636395784e-20,1.4813109322387715e-19,1.3138341732110577e-22,3.750037739860166e-09,3.460122128340296e-06,4.514805156182886e-19,1.3549823999509916e-18,9.394131664587978e-06,0.05188815578533198,
14.935201644897461,12,3249,,,,,,,,,,,,,,,,
,13,3299,14.400789260864258,8.48793903558592e-21,9.05610257565105e-21,2.135857229837978e-20,6.150621084652534e-20,7.504743897920505e-21,4.957200479759123e-21,1.4833008296050159e-19,9.525108823662944e-23,8.627352568015972e-10,3.256267713480762e-06,7.200434646583909e-20,1.8766065738867116e-19,1.3755031844129695e-05,0.05021528979522055,
,13,3349,14.541872024536133,5.099170045071858e-15,5.032686740553327e-15,1.8837954162372636e-14,5.428194718453297e-14,6.575967062582853e-15,6.8469710598530896e-15,6.091972852260557e-19,2.156461074541511e-22,6.049508461565902e-08,6.370242011441172e-07,5.307655732857851e-14,1.4708168848863836e-13,3.348060756286346e-05,0.009450035706611112,
,13,3399,14.891741752624512,8.79000528581797e-19,1.1160715247343108e-18,5.4529224993364234e-18,1.2186951513315645e-17,1.66221290705561e-18,2.0852478062109645e-18,2.8312146993308733e-19,9.923684498545355e-23,1.9732673143753766e-07,1.277858235795504e-07,1.3469179947662484e-17,2.82086767868946e-17,8.63918555736052e-05,0.0028908886451334387,
,13,3449,14.314911842346191,9.844063136351245e-21,1.2289327339209068e-20,2.6330360906205146e-20,6.556404505014e-20,8.759348181442827e-21,1.1023391276034057e-20,3.4645086993454887e-20,2.5725136656770863e-23,3.047751494091458e-10,7.026442704507181e-06,7.259981069246051e-20,1.5949338607017667e-19,8.823495498562322e-05,0.3592271892228726,
,13,3499,15.157696723937988,1.9516422286694816e-21,2.7913693252450306e-21,4.4685721335104974e-21,1.036852605636099e-20,1.4284679016028054e-21,2.002007084721495e-21,2.057735530726416e-20,1.469981225474998e-23,9.394578947002153e-09,5.860679375351462e-06,1.1499986297590979e-20,2.4843338989967617e-20,0.0001455204353204948,0.4555493148977169,
14.934791564941406,13,3499,,,,,,,,,,,,,,,,
,14,3549,14.242836952209473,5.080417611064405e-20,5.968709482622078e-20,2.7047053370272524e-19,5.696607130670169e-19,8.123126506896951e-20,1.0994038795017228e-19,4.188460396388034e-20,2.4882522133652e-23,3.3158757664523395e-10,8.524079292291848e-07,7.572739101869849e-19,1.385611396518853e-18,1.9993704656474155e-05,0.08216532337370301,
